film,langue,texte
3d036187-2c03-4831-ac66-6bfdbf91ba1e,deu,"Nach der ersten Begegnung Ripleys mit dem Alien sind 57 Jahre vergangen. Ziellos treibt sie sich immernoch im Kälteschlaf befindlich durchs All. Zufällig wird sie entdeckt und wieder zurück zur Erde gebracht. Ihren Berichten über die Ereignisse mit dem Alien wird zunächst wenig Glauben geschenkt, doch als der Kontakt zu dem mittlweile bevölkerten, aus dem ersten Teil bekannten Planeten abbricht, wird Ripley gebeten zusammen mit einem Trupp Space-Marines nach dem Rechten zu sehen. Sie kommen zu spät - die komplette Kolonie wurde von den Aliens überrannt und das Einsatzteam muss es mit der Übermacht aufnehmen..."
3d036187-2c03-4831-ac66-6bfdbf91ba1e,eng,"When Ripley's lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers."
3d036187-2c03-4831-ac66-6bfdbf91ba1e,fra,"Après 57 ans de dérive dans l’espace, Ellen Ripley est secourue par la corporation Weyland‐Yutani. Malgré son rapport concernant l’incident survenu sur le Nostromo, elle n’est pas prise au sérieux par les militaires quant à la présence de xénomorphes sur la planète LV‐426 où se posa son équipage… planète où plusieurs familles de colons ont été envoyés en mission de « terraformage ». Après la disparition de ces derniers, Ripley décide d’accompagner une escouade de marines dans leur mission de sauvetage… et d’affronter à nouveau la Bête."
3d036187-2c03-4831-ac66-6bfdbf91ba1e,heb,"ריפלי, הניצולה היחידה מן הספינה שאליה חדרה המפלצת, מצטרפת כעבור שנים כיועצת למחלקה של חיילים מיומנים היוצאת להשמיד את קרוביה של המפלצת המאיימים להשתלט על מושבה של בני אדם בכוכב לכת מרוחק. סרט ההמשך של ג'יימס קמרון, הנחשב על ידי רבים כפרק הטוב בסדרה, מטפל בנושאים כמו אמהות ופמיניזם מבלי לשכוח להיות עוצר נשימה ומצמרר. וויבר כריפלי מתפקדת כאן כרמבו ממין נקבה."
3d036187-2c03-4831-ac66-6bfdbf91ba1e,ita,"Il ""capitano"" Ellen Ripley, ibernata per sessant'anni in un sofisticato contenitore del traghetto spaziale Nostromo, e quindi rimasta giovane, è l'unica sopravvissuta alla terribile disavventura che ne ha distrutto l'equipaggio e che ora sconvolge le sue notti con incubi ricorrenti, che si riferiscono alle forme mostruose di vita incontrate sul pianeta Archeron, dove ora vive una colonia di pionieri dello spazio. Quando le viene affidata la missione di scoprire il perchè sia stato misteriosamente interrotto il contatto con quel remoto pianeta, Ellen si trova ad affrontare le spaventose proliferazioni del mostro da cui era avventurosamente sfuggita. Allora infatti c'era un solo alieno, ora vivono là innumerevoli mostruosi alieni, che si riproducono con ritmo frenetico, sempre più avidamente affamati di essere umani."
3d036187-2c03-4831-ac66-6bfdbf91ba1e,jpn,"冷凍睡眠のまま宇宙を漂流していたリプリーは奇跡的に宇宙船に救出される。地球に戻った彼女は貨物船で起こったエイリアンによる恐ろしい出来事を語る。リプリーが漂流していた間にエイリアンを発見した小惑星は地球の殖民惑星となっていた事を知りエイリアン殲滅を訴える。しかしエイリアンを兵器として利用したい企業に拒まれてしまう。その時小惑星より連絡が途絶えたことからアメリカ海兵隊が住民救出に向かうが同乗したリプリーの話をまともに聞かなかった兵士達だが、凶悪生命体エイリアンを目の当たりにし一気に追い詰められてゆく。"
3d036187-2c03-4831-ac66-6bfdbf91ba1e,spa,"Alien es un organismo perfecto, una máquina de matar cuya superioridad física sólo puede competir con su agresividad. La oficial Ripley y la tripulación de la nave “Nostromo” se habían enfrentado, en el pasado, a esa monstruosa criatura. Y sólo Ripley sobrevivió a la masacre. Después de vagar por el espacio durante varios años, Ripley fue rescatada. Durante ese tiempo, el planeta de Alien ha sido colonizado. Pero, de repente, se pierde la comunicación con la colonia y, para investigar los motivos, se envía una expedición de marines espaciales, capitaneados por Ripley. Allí les esperan miles de espeluznantes criaturas. Alien se ha reproducido y esta vez la lucha es por la supervivencia de la Humanidad."
3d036187-2c03-4831-ac66-6bfdbf91ba1e,tur,"Nostromo'dan kurtulan tek kişi olan Teğmen Ellen Ripley, yarım yüzyıllık derin uykusundan uyandırılarak dünyaya getirilir. Bu sırada yaratıkları buldukları gezegenin sonradan kolonileştirildiği ve insanların yaşadığını öğrenir. Söz konusu koloniden bir süredir haber alınamamaktadır ve Ripley, uzman bir komando ekibi ile yaratıkları yoketmeye ve sağ kalanları kurtarmaya gider.Alien konseptine yönetmen James Cameron'ın yaklaşımı ve ortaya çıkan belki de serinin en iyi filmi.1987'de 7 dalda Oscar'a aday olan film, en iyi görsel efekt ve en iyi ses efekti dallarında bu ödüle layık görülmüştü."
4636157e-7ed8-4472-bd59-cb5442604773,fra,"Après cinq ans de vie commune, un médecin, Bernard se fait plaquer par sa femme. Une nuit, il rencontre Nadine,photographe de mode, qui se trouve être sa voisine de palier. Déprimée par le chaos de sa vie sentimentale, elle lie avec Bernard une réelle complicité. Un soir, leur amitié dérape, ils se retrouvent dans le même lit. Ce qu'ils regrettent tous les deux ..."
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,fra,"Frank Murphy, un ancien du Vietnam, est choisi pour être le pilote du Tonnerre de feu, hélicoptère doté d'une force de frappe exceptionnelle et spécialement conçu pour tout voir et tout entendre…"
